,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Direction_of_Melodic_Motion,Average_Interval_Spanned_by_Melodic_Arcs,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Variability_in_Rhythmic_Value_Run_Lengths,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Variability
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_11_R2_2013_wav--3.midi",0.03465, 0.1293, 0.9766, 0.8597, 17.29, 3.384, 9.0, 0.1358, 0.6682, 0.0263, 0.0473, 0.1127, 0.1417, 0.05239, 0.04793, 0.05122, 0.07996, 0.03287, 0.1358, 0.3191, 0.4711, 20.93, 0.9216, 0.9671, 0.07498, 0.005472, 8.106E-4, 0.7506, 1.0, 0.3702, 9.321, 0.00636, 0.00636
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_04_R2_2013_wav--3.midi",0.03147, 0.1205, 0.9079, 0.9576, 16.97, 3.482, 11.0, 0.1621, 0.6818, 0.01311, 0.1105, 0.1565, 0.1015, 0.06067, 0.02522, 0.04828, 0.06917, 0.07869, 0.1621, 0.2848, 0.4845, 19.03, 0.7159, 0.8066, 0.2493, 0.05549, 0.0098, 0.5427, 1.0, 0.9975, 5.313, 0.006455, 0.006455
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_16_R1_2013_wav--1.midi",0.06846, 0.1558, 0.9693, 0.8841, 10.6, 3.443, 1.0, 0.1195, 0.5897, 0.004814, 0.07046, 0.1899, 0.09803, 0.04945, 0.03326, 0.04333, 0.08972, 0.04333, 0.03982, 0.4083, 0.4767, 17.55, 0.9194, 0.9765, 0.07602, 0.00756, 0.0, 0.4691, 0.9597, 0.2548, 1.393, 0.007852, 0.007852
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_09_R1_2013_wav--4.midi",0.05356, 0.141, 0.9403, 0.9462, 13.37, 3.53, 10.0, 0.1307, 0.738, 0.01031, 0.06693, 0.1634, 0.1127, 0.05994, 0.02849, 0.05592, 0.08703, 0.04928, 0.1307, 0.3022, 0.4676, 18.35, 0.6559, 0.794, 0.3199, 0.0416, 0.002021, 0.4824, 1.0, 0.7191, 3.311, 0.006287, 0.006287
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_03_R2_2013_wav--2.midi",0.0542, 0.1417, 0.9942, 0.9016, 13.19, 3.346, 1.0, 0.1846, 0.7083, 6.487E-4, 0.1307, 0.3153, 0.1421, 0.04152, 0.01849, 0.03957, 0.06098, 0.01557, 0.04541, 0.3205, 0.457, 19.21, 0.8003, 0.8675, 0.1946, 0.0225, 0.001585, 0.4143, 0.9319, 0.4712, 1.644, 0.00652, 0.00652
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi",0.0474, 0.1591, 0.8701, 0.8414, 15.18, 3.443, 8.0, 0.1872, 0.3074, 0.01566, 0.02925, 0.07737, 0.1143, 0.05467, 0.03469, 0.05435, 0.08344, 0.0446, 0.1872, 0.3338, 0.4617, 21.21, 0.747, 0.872, 0.2395, 0.02647, 0.003078, 0.5032, 1.0, 0.5656, 1.944, 0.006461, 0.006461
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--4.midi",0.05055, 0.1535, 0.9841, 0.9738, 14.08, 3.412, 3.0, 0.1105, 0.7453, 0.006257, 0.06236, 0.1045, 0.118, 0.04984, 0.05527, 0.06382, 0.1349, 0.06486, 0.1105, 0.292, 0.4741, 19.0, 0.7795, 0.8461, 0.1901, 0.05418, 0.007251, 0.5194, 1.0, 0.8687, 1.897, 0.006447, 0.006447
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_01_R1_2013_wav--4.midi",0.04014, 0.1301, 0.751, 0.8564, 15.92, 3.494, 9.0, 0.183, 0.5122, 0.01303, 0.01553, 0.03839, 0.148, 0.05874, 0.03124, 0.04089, 0.08052, 0.03107, 0.183, 0.3751, 0.4776, 23.21, 0.9528, 0.9853, 0.0462, 0.001147, 9.83E-4, 0.8306, 1.0, 0.274, 15.23, 0.006437, 0.006437
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_15_R3_2013_wav--2.midi",0.07746, 0.1545, 0.84, 0.9148, 9.223, 3.557, 10.0, 0.1604, 0.5124, 0.004367, 0.01429, 0.09647, 0.1449, 0.05955, 0.0262, 0.06391, 0.1183, 0.03533, 0.1604, 0.2906, 0.5283, 17.05, 0.4198, 0.6619, 0.5585, 0.03641, 0.006584, 0.2421, 0.92, 0.8971, 0.9268, 0.006239, 0.006239
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_15_R2_2013_wav--2.midi",0.03057, 0.1208, 0.9395, 0.98, 16.93, 3.459, 11.0, 0.1598, 0.7291, 0.01309, 0.1165, 0.1653, 0.108, 0.06233, 0.02514, 0.04374, 0.06769, 0.06561, 0.1598, 0.2893, 0.4671, 19.43, 0.731, 0.8422, 0.2514, 0.03128, 0.004123, 0.5893, 1.0, 0.7122, 6.019, 0.006406, 0.006406
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_08_R2_2013_wav--2.midi",0.03897, 0.1663, 0.9843, 0.7528, 16.52, 3.487, 2.0, 0.08844, 0.9643, 0.004422, 0.01958, 0.0537, 0.1526, 0.08528, 0.05275, 0.07581, 0.09097, 0.0398, 0.08149, 0.3632, 0.4594, 19.96, 0.9429, 0.9635, 0.0494, 0.01013, 9.205E-4, 0.7429, 1.0, 0.3712, 3.542, 0.006446, 0.006446
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--3.midi",0.04989, 0.1195, 0.9014, 0.9706, 15.1, 3.447, 9.0, 0.145, 0.6856, 0.00299, 0.06353, 0.0994, 0.1749, 0.06726, 0.04933, 0.0568, 0.1016, 0.03438, 0.145, 0.2683, 0.404, 21.46, 0.5664, 0.766, 0.3851, 0.07098, 0.01054, 0.3099, 1.0, 1.01, 2.235, 0.008772, 0.008772
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_05_R1_2013_wav--3.midi",0.09499, 0.2099, 0.6202, 0.6702, 12.04, 3.417, 9.0, 0.09434, 0.808, 0.003019, 0.03623, 0.09887, 0.1472, 0.06038, 0.02566, 0.0717, 0.1306, 0.03245, 0.07623, 0.354, 0.4777, 19.48, 0.3763, 0.6053, 0.5847, 0.06038, 0.01325, 0.229, 0.9035, 1.042, 0.7092, 0.006482, 0.006482
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_17_R3_2013_wav--2.midi",0.07313, 0.1679, 0.8989, 0.9072, 11.2, 3.319, 9.0, 0.1241, 0.9879, 0.01069, 0.03165, 0.09275, 0.2056, 0.05658, 0.04905, 0.05521, 0.1092, 0.03781, 0.1226, 0.2604, 0.4472, 16.82, 0.7864, 0.8643, 0.1988, 0.03221, 0.003036, 0.6292, 1.0, 0.596, 10.6, 0.006438, 0.006438
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_06_R1_2013_wav--3.midi",0.05536, 0.1567, 0.961, 0.922, 12.94, 3.606, 2.0, 0.3015, 0.2153, 0.0, 0.3015, 0.341, 0.1201, 0.05896, 0.02761, 0.04179, 0.08582, 0.02687, 0.04627, 0.2515, 0.4866, 21.14, 0.9698, 0.9784, 0.02516, 0.005032, 0.002876, 0.8569, 1.0, 0.6663, 8.049, 0.006708, 0.006708
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_07_R2_2013_wav--2.midi",0.0969, 0.2176, 0.8281, 0.7357, 10.43, 3.346, 8.0, 0.1063, 0.8487, 0.007059, 0.01255, 0.03137, 0.1596, 0.06196, 0.03373, 0.08, 0.1118, 0.03333, 0.1063, 0.3749, 0.4953, 17.84, 0.2547, 0.6881, 0.7282, 0.05602, 0.001893, 0.4334, 0.4812, 0.7098, 1.529, 0.007956, 0.007956
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--2.midi",0.07834, 0.1791, 0.8498, 0.9537, 13.23, 3.572, 9.0, 0.1292, 0.6406, 0.01011, 0.0448, 0.1134, 0.1565, 0.05654, 0.03032, 0.04398, 0.08959, 0.02486, 0.1292, 0.3455, 0.4506, 21.46, 0.5807, 0.7711, 0.3955, 0.04358, 0.008556, 0.3324, 1.0, 0.9572, 1.25, 0.00636, 0.00636
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--2.midi",0.0586, 0.1939, 1.0, 0.7978, 13.85, 3.447, 9.0, 0.1493, 0.5231, 0.02416, 0.04832, 0.09922, 0.1497, 0.06255, 0.02459, 0.04443, 0.07291, 0.03753, 0.1493, 0.3356, 0.4545, 19.82, 0.4646, 0.6716, 0.4911, 0.06619, 0.004216, 0.2698, 1.0, 0.7843, 1.937, 0.006527, 0.006527
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--3.midi",0.06224, 0.1362, 0.7556, 0.8471, 12.93, 3.412, 2.0, 0.1108, 0.7778, 0.00652, 0.08621, 0.149, 0.1775, 0.06351, 0.06544, 0.0524, 0.1215, 0.04637, 0.04419, 0.2736, 0.4861, 16.14, 0.9497, 0.9736, 0.05007, 0.001404, 0.0, 0.8168, 1.0, 0.1685, 8.158, 0.006419, 0.006419
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--4.midi",0.04995, 0.1647, 0.9058, 0.811, 13.86, 3.427, 9.0, 0.1034, 0.962, 0.01123, 0.07751, 0.1528, 0.1629, 0.05654, 0.02734, 0.04194, 0.08051, 0.02546, 0.1034, 0.338, 0.4755, 20.89, 0.7533, 0.8858, 0.2429, 0.01086, 0.001448, 0.4454, 1.0, 0.4526, 2.459, 0.006734, 0.006734
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_07_R3_2013_wav--2.midi",0.05119, 0.1843, 0.9684, 0.9635, 14.95, 3.566, 1.0, 0.1338, 0.7727, 0.01172, 0.06485, 0.1682, 0.1905, 0.04756, 0.02636, 0.03208, 0.05676, 0.01994, 0.09386, 0.353, 0.5072, 22.08, 0.6886, 0.8679, 0.2896, 0.03179, 0.001886, 0.4442, 1.0, 0.5938, 5.475, 0.006406, 0.006406
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--4.midi",0.06853, 0.1801, 0.8272, 0.9363, 13.23, 3.374, 2.0, 0.1076, 0.9051, 0.005108, 0.04414, 0.1273, 0.1605, 0.1076, 0.04341, 0.09741, 0.1036, 0.0405, 0.05764, 0.2568, 0.5167, 15.83, 0.794, 0.8938, 0.1991, 0.0122, 0.001794, 0.5569, 1.0, 0.5882, 4.095, 0.006469, 0.006469
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_02_R1_2013_wav--5.midi",0.09104, 0.288, 0.7936, 0.422, 15.8, 3.291, 11.0, 0.1836, 0.6915, 0.02604, 0.1269, 0.1919, 0.06776, 0.03515, 0.01669, 0.03161, 0.06827, 0.03692, 0.1836, 0.3421, 0.492, 20.62, 0.9768, 0.9873, 0.02099, 0.004393, 2.441E-4, 0.9453, 1.0, 0.2205, 37.78, 0.006574, 0.006574
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--2.midi",0.1036, 0.1734, 0.7741, 0.8628, 9.271, 3.465, 1.0, 0.1916, 0.7907, 0.001157, 0.01041, 0.07016, 0.3431, 0.1399, 0.03123, 0.03816, 0.05204, 0.0239, 0.07247, 0.2278, 0.5272, 14.05, 0.4881, 0.6857, 0.4351, 0.1128, 0.006523, 0.2632, 1.0, 0.9704, 0.6395, 0.006444, 0.006444
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_17_R3_2013_wav--1.midi",0.06753, 0.1632, 0.9588, 0.9701, 10.34, 3.472, 1.0, 0.1369, 0.7209, 0.01273, 0.09869, 0.2356, 0.1203, 0.04033, 0.02087, 0.03643, 0.07676, 0.052, 0.05518, 0.3498, 0.4679, 15.9, 0.7644, 0.8844, 0.2339, 0.00905, 0.0, 0.5458, 1.0, 0.346, 2.979, 0.006559, 0.006559
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_07_R2_2013_wav--1.midi",0.04109, 0.1646, 0.9941, 0.9674, 15.43, 3.489, 12.0, 0.1564, 0.4814, 0.005433, 0.03601, 0.0863, 0.1233, 0.03955, 0.0182, 0.02729, 0.04789, 0.03159, 0.1564, 0.464, 0.472, 25.79, 0.8475, 0.9282, 0.1398, 0.01975, 0.001463, 0.6782, 1.0, 0.5118, 12.19, 0.006465, 0.006465
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--1.midi",0.08981, 0.1671, 0.7095, 0.9249, 10.52, 3.424, 1.0, 0.1767, 0.7826, 0.00256, 0.1382, 0.3149, 0.09165, 0.04045, 0.02253, 0.02611, 0.06349, 0.03072, 0.03226, 0.3753, 0.4677, 15.6, 0.727, 0.8018, 0.2313, 0.06222, 0.01004, 0.3879, 0.8745, 0.9886, 1.86, 0.007647, 0.007647
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--1.midi",0.05044, 0.1808, 0.9505, 0.9839, 15.04, 3.553, 1.0, 0.1229, 0.8318, 0.01184, 0.06104, 0.1633, 0.1864, 0.0522, 0.0251, 0.03023, 0.05876, 0.01982, 0.09598, 0.3564, 0.5022, 21.77, 0.779, 0.878, 0.2073, 0.02591, 2.772E-4, 0.5187, 1.0, 0.4718, 5.571, 0.006453, 0.006453
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_07_R3_2013_wav--1.midi",0.0749, 0.1577, 0.8735, 0.9302, 10.79, 3.391, 1.0, 0.1712, 0.6868, 0.005644, 0.1176, 0.2888, 0.08906, 0.02759, 0.007839, 0.02634, 0.04735, 0.03261, 0.02854, 0.4462, 0.5024, 17.01, 0.79, 0.8478, 0.1544, 0.08163, 0.01284, 0.5087, 0.5529, 1.149, 1.893, 0.007959, 0.007959
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--3.midi",0.05789, 0.1343, 0.873, 0.8534, 12.89, 3.39, 2.0, 0.1154, 0.7825, 0.003938, 0.09033, 0.1359, 0.1824, 0.05587, 0.06473, 0.05144, 0.1191, 0.04406, 0.0507, 0.2919, 0.4809, 16.64, 0.9687, 0.9886, 0.03132, 0.0, 0.0, 0.8892, 1.0, 0.1024, 22.79, 0.006571, 0.006571
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--1.midi",0.06985, 0.1632, 0.8826, 0.969, 11.61, 3.349, 9.0, 0.1435, 0.7186, 0.01196, 0.03588, 0.1045, 0.1725, 0.05825, 0.04503, 0.05403, 0.1003, 0.04854, 0.1435, 0.2613, 0.4571, 16.76, 0.7916, 0.8738, 0.1903, 0.0354, 0.003007, 0.6016, 1.0, 0.6531, 5.68, 0.006612, 0.006612
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_15_R3_2013_wav--1.midi",0.07159, 0.1642, 0.9179, 0.9293, 11.21, 3.323, 9.0, 0.1333, 0.8916, 0.01245, 0.03305, 0.09328, 0.2004, 0.05937, 0.04564, 0.05436, 0.1034, 0.04149, 0.1333, 0.2562, 0.4444, 17.1, 0.8071, 0.8718, 0.1776, 0.02719, 0.003006, 0.6795, 1.0, 0.6546, 15.65, 0.006492, 0.006492
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_16_R1_2013_wav--3.midi",0.0639, 0.1631, 0.935, 0.9331, 10.03, 3.353, 3.0, 0.09871, 0.9126, 0.008091, 0.05609, 0.1408, 0.1564, 0.06796, 0.04153, 0.06257, 0.1429, 0.04746, 0.09008, 0.2422, 0.4802, 15.4, 0.6265, 0.7995, 0.3553, 0.03429, 0.002597, 0.3699, 1.0, 0.6877, 1.506, 0.006403, 0.006403
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_18_R1_2013_wav--4.midi",0.06914, 0.1923, 0.9375, 0.8292, 12.14, 3.588, 9.0, 0.08831, 0.8182, 0.02275, 0.01383, 0.04237, 0.1552, 0.05665, 0.01472, 0.07047, 0.1021, 0.03211, 0.07226, 0.4313, 0.4633, 20.69, 0.4032, 0.8047, 0.5825, 0.01901, 0.003025, 0.4015, 0.5963, 0.7171, 1.167, 0.00833, 0.00833
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_15_R2_2013_wav--1.midi",0.07002, 0.1894, 0.9754, 0.6976, 11.29, 3.454, 9.0, 0.1766, 0.7339, 0.006408, 0.01673, 0.05073, 0.2282, 0.09131, 0.01638, 0.04397, 0.1002, 0.02795, 0.1766, 0.2583, 0.521, 16.33, 0.7356, 0.8839, 0.253, 0.01759, 0.002587, 0.4255, 1.0, 0.5376, 1.894, 0.006682, 0.006682
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_04_R2_2013_wav--1.midi",0.1202, 0.2558, 0.6836, 0.5898, 11.27, 3.39, 7.0, 0.1478, 0.5342, 0.07575, 0.01592, 0.05423, 0.1472, 0.07898, 0.02281, 0.06047, 0.09727, 0.03249, 0.1478, 0.283, 0.4554, 17.36, 0.6471, 0.8062, 0.3274, 0.04617, 0.003051, 0.5324, 1.0, 0.7717, 3.625, 0.006726, 0.006726
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--5.midi",0.05573, 0.1748, 0.7907, 0.7468, 14.87, 3.597, 9.0, 0.1047, 0.7464, 0.007908, 0.07456, 0.1375, 0.1657, 0.05216, 0.04218, 0.04895, 0.08172, 0.03107, 0.07814, 0.3547, 0.479, 19.67, 0.7689, 0.8793, 0.2246, 0.01685, 0.001852, 0.5442, 1.0, 0.4988, 3.123, 0.006443, 0.006443
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_11_R2_2013_wav--1.midi",0.07756, 0.1786, 0.8729, 0.9418, 13.23, 3.557, 9.0, 0.1283, 0.7209, 0.009764, 0.04394, 0.1033, 0.1641, 0.05506, 0.02875, 0.04936, 0.08272, 0.03065, 0.1283, 0.348, 0.4547, 20.79, 0.6039, 0.806, 0.3651, 0.04957, 0.007729, 0.3294, 1.0, 0.8073, 1.266, 0.006342, 0.006342
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_17_R1_2013_wav--3.midi",0.0412, 0.1554, 0.9583, 0.9779, 15.49, 3.464, 1.0, 0.1888, 0.3649, 0.002616, 0.06888, 0.2576, 0.09765, 0.04839, 0.0218, 0.0667, 0.06931, 0.02659, 0.06234, 0.347, 0.4917, 20.34, 0.9369, 0.9639, 0.06137, 0.006438, 0.0, 0.7871, 1.0, 0.2408, 6.282, 0.006446, 0.006446
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_08_R2_2013_wav--1.midi",0.07637, 0.176, 0.8565, 0.9461, 13.23, 3.57, 9.0, 0.1134, 0.8116, 0.009082, 0.04675, 0.115, 0.1559, 0.0555, 0.0264, 0.0444, 0.09199, 0.02926, 0.1134, 0.3591, 0.4711, 21.19, 0.6002, 0.7537, 0.3771, 0.0417, 0.003434, 0.3195, 0.8782, 0.76, 1.207, 0.00638, 0.00638
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_14_R1_2013_wav--4.midi",0.04408, 0.1438, 0.9671, 0.8897, 14.64, 3.411, 9.0, 0.07775, 0.9445, 0.008412, 0.04928, 0.1119, 0.1246, 0.04982, 0.03127, 0.05759, 0.1087, 0.02707, 0.07775, 0.4029, 0.4628, 22.0, 0.7909, 0.9058, 0.201, 0.01587, 0.002489, 0.5919, 1.0, 0.4668, 4.618, 0.006407, 0.006407
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_05_R1_2013_wav--1.midi",0.06276, 0.1571, 0.9542, 0.9608, 9.871, 3.377, 1.0, 0.1433, 0.4795, 0.01341, 0.06873, 0.2121, 0.1085, 0.04568, 0.02179, 0.04359, 0.09388, 0.03311, 0.04904, 0.3789, 0.4686, 16.12, 0.5673, 0.6579, 0.3901, 0.08121, 0.005332, 0.3897, 1.0, 0.904, 1.719, 0.007166, 0.007166
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--1.midi",0.07441, 0.1754, 0.8565, 0.9128, 13.27, 3.555, 9.0, 0.1218, 0.7739, 0.01099, 0.04755, 0.1184, 0.1549, 0.05657, 0.02476, 0.04378, 0.07887, 0.02705, 0.1218, 0.3628, 0.4761, 20.98, 0.7712, 0.8944, 0.2161, 0.02199, 0.003187, 0.5067, 1.0, 0.7006, 2.191, 0.006436, 0.006436
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_17_R1_2013_wav--2.midi",0.0726, 0.1889, 0.8594, 0.8844, 11.61, 3.504, 10.0, 0.1095, 0.859, 0.002038, 0.08675, 0.1808, 0.1668, 0.04978, 0.02387, 0.04978, 0.07715, 0.04803, 0.1095, 0.2923, 0.4659, 16.08, 0.8942, 0.9404, 0.1012, 0.0122, 0.0, 0.6977, 1.0, 0.3394, 6.024, 0.006784, 0.006784
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--4.midi",0.04081, 0.1233, 0.8613, 0.8382, 14.33, 3.575, 2.0, 0.2038, 0.4435, 0.004245, 0.2038, 0.269, 0.1361, 0.02881, 0.02759, 0.02608, 0.09491, 0.04033, 0.03366, 0.3393, 0.5018, 18.43, 0.7745, 0.8874, 0.2142, 0.01638, 0.005362, 0.5499, 1.0, 0.7268, 3.44, 0.006324, 0.006324
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_18_R1_2013_wav--5.midi",0.03487, 0.1179, 0.935, 0.9688, 13.9, 3.442, 12.0, 0.2776, 0.3125, 0.00329, 0.02154, 0.04188, 0.04248, 0.02483, 0.02333, 0.02154, 0.06222, 0.05265, 0.2776, 0.4502, 0.4571, 24.67, 0.7669, 0.8679, 0.2214, 0.02523, 0.005954, 0.6155, 1.0, 0.8553, 5.145, 0.00656, 0.00656
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_16_R1_2013_wav--2.midi",0.05878, 0.1667, 0.9609, 0.8719, 12.05, 3.441, 9.0, 0.1387, 0.6701, 0.0102, 0.07541, 0.1639, 0.1613, 0.04956, 0.02917, 0.03581, 0.07707, 0.03747, 0.1387, 0.2969, 0.4775, 17.02, 0.791, 0.8705, 0.1887, 0.03881, 0.008955, 0.6126, 1.0, 0.8847, 5.626, 0.006878, 0.006878
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_03_R2_2013_wav--1.midi",0.06203, 0.1421, 0.7844, 0.8263, 12.39, 3.582, 5.0, 0.08212, 0.9004, 0.005451, 0.0429, 0.08958, 0.09551, 0.05178, 0.03176, 0.07394, 0.09527, 0.03697, 0.08212, 0.4376, 0.5029, 19.74, 0.8205, 0.933, 0.172, 0.01303, 0.00392, 0.5024, 1.0, 0.6111, 4.316, 0.006396, 0.006396
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_02_R3_2013_wav--1.midi",0.07352, 0.1682, 0.8935, 0.9273, 11.24, 3.327, 9.0, 0.1415, 0.8337, 0.0134, 0.03265, 0.09326, 0.1959, 0.0596, 0.04862, 0.05062, 0.1084, 0.04192, 0.1415, 0.2468, 0.4616, 16.82, 0.8204, 0.8886, 0.1634, 0.02872, 0.003435, 0.6969, 1.0, 0.6634, 11.75, 0.006481, 0.006481
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_13_R1_2013_wav--4.midi",0.056, 0.1739, 0.7749, 0.7326, 15.07, 3.589, 2.0, 0.1067, 0.7703, 0.01001, 0.08221, 0.1471, 0.1627, 0.05353, 0.04019, 0.04502, 0.08438, 0.03018, 0.0707, 0.3562, 0.4895, 19.51, 0.7839, 0.897, 0.2119, 0.01015, 6.55E-4, 0.4618, 1.0, 0.4012, 1.642, 0.006491, 0.006491
